Date,Confirmed,Deaths,Recovered
2020-03-01,1,0,1
2020-03-02,1,0,1
2020-03-03,1,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,2,0,0
2020-03-07,2,0,0
2020-03-08,2,0,0
2020-03-09,2,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,5,0,0
2020-03-14,1,0,0
2020-03-15,1,0,0
2020-03-16,29,0,0
2020-03-17,39,0,0
2020-03-18,46,0,0
2020-03-19,78,0,0
2020-03-20,83,0,0
2020-03-21,131,0,0
2020-03-22,157,0,0
2020-03-23,196,0,0
2020-03-24,242,0,0
2020-03-25,381,1,0
2020-03-26,517,1,0
2020-03-27,587,4,0
2020-03-28,694,4,0
2020-03-29,825,10,0
2020-03-30,899,10,0
2020-03-31,987,23,0
2020-04-01,1060,27,0
2020-04-02,1233,32,0
2020-04-03,1495,38,0
2020-04-04,1614,44,0
2020-04-05,1765,45,0
2020-04-06,1952,49,0
2020-04-07,2169,64,0
2020-04-08,2328,66,0
2020-04-09,2703,70,0
2020-04-10,2947,80,0
2020-04-11,3217,92,0
2020-04-12,3563,93,0
2020-04-13,3734,99,0
2020-04-14,3953,114,0
2020-04-15,4075,118,0
2020-04-16,4345,133,0
2020-04-17,4571,148,0
2020-04-18,4712,153,0
2020-04-19,4888,157,0
2020-04-20,5079,163,0
2020-04-21,11750,401,0
2020-04-22,5593,196,0
2020-04-23,5832,202,0
2020-04-24,6026,209,0
2020-04-25,6026,209,0
2020-04-26,6421,219,0
2020-04-27,6539,228,0
2020-04-28,6750,242,0
2020-04-29,6912,256,0
2020-04-30,7088,272,0
2020-05-01,7294,289,0
2020-05-02,7611,288,0
2020-05-03,7888,290,0
2020-05-04,8112,298,0
2020-05-05,8437,315,0
2020-05-06,8691,343,0
2020-05-07,9046,369,0
2020-05-08,9385,383,0
2020-05-09,9668,390,0
2020-05-10,9889,393,0
2020-05-11,10164,403,0
2020-05-12,10464,435,0
2020-05-13,10700,450,0
2020-05-14,11101,473,0
2020-05-15,11373,483,0
2020-05-16,11674,485,0
2020-05-17,11771,488,0
2020-05-18,12086,489,0
2020-05-19,12376,504,0
2020-05-20,13052,522,0
2020-05-21,13288,529,0
2020-05-22,13670,541,0
2020-05-23,14117,549,0
2020-05-24,14478,551,0
2020-05-25,14986,566,0
2020-05-26,15650,580,0
2020-05-27,16032,583,0
2020-05-28,16530,591,0
2020-05-29,17031,610,0
2020-05-30,17359,618,0
2020-05-31,17952,630,0
2020-06-01,18630,646,0
2020-06-02,18766,653,0
2020-06-03,18851,653,0
2020-06-04,19072,653,0
2020-06-05,19387,676,0
2020-06-06,20043,689,0
2020-06-07,20500,692,0
2020-06-08,20925,718,0
2020-06-09,21422,729,0
2020-06-10,21989,744,0
2020-06-11,22845,755,0
2020-06-12,23710,769,0
2020-06-13,24601,773,0
2020-06-14,25615,773,0
2020-06-15,26272,774,0
2020-06-16,26912,785,0
2020-06-17,0,0,0
2020-06-18,28206,810,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,30021,839,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,34183,907,0
2020-06-27,35083,919,0
2020-06-28,0,0,0
2020-06-29,37175,929,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,40111,985,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
